capital_marker,timezone,geo_lat,geo_lon,population,city_name
1.0,UTC+3,59.8591523,38.3748782,7735,Кириллов
1.0,UTC+3,59.4742862,32.0624947,52826,Кириши
1.0,UTC+3,54.0790111,34.3076201,31888,Киров
2.0,UTC+3,58.6035264,49.6679304,473668,Киров
0.0,UTC+5,57.4299433,60.0624051,21959,Кировград
1.0,UTC+3,58.5559424,50.0316848,80920,Кирово-Чепецк
1.0,UTC+3,59.8754216,30.981364,25633,Кировск
0.0,UTC+3,67.6150424,33.663735,28659,Кировск
1.0,UTC+3,59.340056,52.2414437,10420,Кирс
0.0,UTC+3,52.6506335,42.7286445,17240,Кирсанов
0.0,UTC+7,54.0059999,86.6366116,98382,Киселевск
0.0,UTC+3,43.9052044,42.7168721,128502,Кисловодск
0.0,UTC+3,56.3425605,36.7240032,80584,Клин
0.0,UTC+3,52.7529119,32.233911,62510,Клинцы
1.0,UTC+3,55.8205915,45.032337,6708,Княгинино
1.0,UTC+3,67.5661417,30.4741941,18836,Ковдор
0.0,UTC+3,56.3554349,41.3170576,145492,Ковров
1.0,UTC+3,54.0391072,43.9191539,21307,Ковылкино
0.0,UTC+5,62.2639527,74.4829794,58192,Когалым
1.0,UTC+7,58.6032644,99.1797962,14835,Кодинск
1.0,UTC+3,54.0347201,35.780768,18203,Козельск
1.0,UTC+3,55.8406025,48.2577735,10355,Козловка
0.0,UTC+3,56.3334036,46.546675,21262,Козьмодемьянск
1.0,UTC+3,68.8786028,33.0262299,10447,Кола
1.0,UTC+3,58.8269323,44.3184927,3314,Кологрив
0.0,UTC+3,55.102814,38.7531002,144642,Коломна
1.0,UTC+7,58.3114253,82.9025829,24126,Колпашево
1.0,UTC+3,56.3327254,39.391336,45804,Кольчугино
0.0,UTC+3,59.6215133,30.3934125,20265,Коммунар
1.0,UTC+3,57.0273052,40.3776851,8693,Комсомольск
0.0,UTC+10,50.5498936,137.0079408,263906,Комсомольск-на-Амуре
1.0,UTC+3,56.7275204,36.8012716,41303,Конаково
1.0,UTC+3,62.2059817,34.2682122,32978,Кондопога
1.0,UTC+3,54.7959473,35.9274842,16672,Кондрово
